car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Honda WR-V,Honda,WR-V,4,110000,Individual ,  Diesel,Manual,25.5,1498,98.6,5,775000
Audi Q7,Audi,Q7,5,40182,,Diesel,automatic,14.75,2967,245.0,7,4800000
Honda Amaze,  Honda,Amaze,8,41000,Car Dealer,PETROL,Manual,18.0,1198,86.7,5,365000
Maruti Eeco,Maruti,Eeco,6,16000,,CNG,Manual,21.94,1196,63.0,5,400000
Maruti Swift,Maruti  ,Swift,3,8260,Car Dealer,Petrol,MAN,22.0,1197,81.8,5,582000
Maruti Swift Dzire,Maruti,Swift Dzire,10,64000,Car Dealer,Diesel,Manual,19.3,1248,73.9,5,395000
Maruti Vitara,Maruti,VItaRa,4,39100,Car Dealer,Diesel Fuel,Manual,24.3,1248,88.5,5,790000
Mahindra Scorpio,Mahindra,SCORPIO,3,27000,Individual,Diesel,MAN,15.4,2523,75.0,7,950000
Mahindra Thar,Mahindra,Thar,6,74000,  Dealer,Diesel,Manual,18.06,2523,63.0,7,551000
Volkswagen Polo,Volkswagen,Polo,7,13000,Car Dealer,Petrol,  Automatic,17.21,1197,103.6,5,650000
Maruti Wagon R,Maruti,Wagon R,3,15000,Individual,,Manual,20.51,998,67.04,5,480000
Skoda Octavia,Skoda,Octavia,5,27000,Dealer,Gas,Automatic,14.7,1798,177.5,5,1170000
Audi A4,Audi,A4,8,35000,Car Dealer,Diesel,AUTO,17.11,1968,174.33,5,1375000
Mahindra XUV500,Mahindra,XUV500,9,70000,Dealer,Diesel,Manual,15.1,2179,140.0,7,740000
Honda City,Honda  ,City,3,15000,Individual,Diesel,Manual,25.6,1498,97.9,5,975000
Skoda Superb,Skoda,SUPERB,5,65000,Car Dealer,Gas,Automatic,14.67,1798,177.46,5,1575000
Maruti Swift,,Swift,5,13300,,  Petrol,Manual,16.1,1197,85.0,5,510000
Honda Jazz,Honda,Jazz,5,37000,Dealer,Petrol,  Automatic,19.0,1199,88.7,5,645000
Audi A6,Audi ,A6,7,50000,Dealer,Diesel,A/T,17.68,1968,174.33,5,1799000
Mahindra XUV500,Mahindra,XUV500,4,62000,Car Dealer,Diesel,Manual,16.0,2179,140.0,7,1345000
Maruti Baleno,Maruti,Baleno,4,4414,Dealer,Petrol,Manual,21.4,1197,83.1,5,640000
Maruti Alto,Maruti,Alto,5,24000,Dealer,Petrol,Manual,22.74,796,47.3,5,275000
Hyundai i10,Hyundai,i10,10,56653,Car Dealer,Gas, Manual,19.81,1086,68.05,5,300000
Hyundai i10,Hyundai,i10,9,37590,,Gasoline,Automatic,16.95,1197,78.9,5,370000
Maruti Swift,,Swift,10,30000,Owner,Petrol,M/T,16.1,1197,85.0,5,350000
Hyundai i20,Hyundai,i20,9,43784,Trustmark Dealer,Petrol,Manual,18.5,1197,82.85,5,415000
Volkswagen Vento,Volkswagen ,Vento,7,56000,Dealer  ,,,16.93,1197,103.2,5,610000
Maruti Wagon R,Maruti,Wagon R,14,35986,Dealer,Petrol,M/T,18.9,998,67.1,5,150000
Nissan Kicks,Nissan,Kick,1,7500,Individual,Diesel Fuel,MAN,20.45,1461,108.5,5,850000
Hyundai i20,Hyundai,i20,8,28000,Dealer,Petrol,Manual,18.5,1197,82.85,5,425000
Ford Figo,Ford  ,Figo,4,42267,Car Dealer,Diesel Fuel,Manual,25.83,1498,99.0,5,600000
Volkswagen Polo,Volkswagen,Polo,8,70000,Individual,  Diesel,M/T,22.07,1199,73.9,5,500000
Maruti Dzire ZXI,  Marut,Dzire ZXI,7,50000,Dealer,Petrol,Manual,23.26,1197,88.5,5,500000
Maruti Celerio,Maruti,Celerio,7,33231,deAlER,Petrol,Automatic,23.1,998,67.04,5,375000
Jeep Compass,Jeep,Compass,4,46706,Dealer,,Manual,17.1,1956,170.0,5,1475000
Skoda Octavia,Skoda,Octavia,6,115000,Car Dealer,Diesel Fuel,AUTO,19.3,1968,141.0,5,999000
Maruti Alto,Maruti,Alto,4,6808,Dealer,Petrol,,23.95,998,67.05,5,369000
Ford Ecosport,Ford  ,Ecosport,6,50000,Owner,Petrol,MAN,15.85,1499,110.4,5,550000
BMW 5,,5,4,21500,Car Dealer,DIESEL,automatic,18.12,1995,190.0,5,3300000
Honda City,Honda,City,3,25000,Dealer,Petrol,A/T,18.0,1497,117.6,5,1191000
Maruti Baleno,Maruti,Baleno,5,20000,Dealer,Gas,  Automatic,21.4,1197,83.1,5,625000
Maruti Ciaz,Maruti,Ciaz,3,35000,Individual  ,Petrol,Manual,21.56,1462,103.25,5,710000
Mahindra Scorpio,  Mahindra,Scorpio,11,110000,Car Dealer,Diesel,MANUAL,12.05,2179,120.0,8,445000
Hyundai i10,Hyundai,i10,10,82000,Dealer,Petrol,Manual,20.36,1197,78.9,5,320000
BMW 5,Bmw,5,3,36000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4200000
Maruti Vitara,Marut,VITARA,4,55000,Dealer,Diesel Fuel,Manual,24.3,1248,88.5,5,955000
Maruti Alto,Maruti,Alto,6,19074,Owner,Petrol,Manual,22.74,796,47.3,5,275000
Hyundai Creta,Hyundai,Creta,6,83000,Car Dealer,Diesel,automatic,17.01,1582,126.2,5,955000
Toyota Innova,Toyota,Innova,8,128000,Dealer,Diesel  ,Manual,12.99,2494,100.57,7,975000
Honda Civic,Honda,Civic,11,74000,Dealer,Petrol,Automatic ,13.9,1799,130.2,5,385000
Maruti Swift,  Maruti,Swift,11,92182,Dealer,DIESEL,Manual,17.8,1248,75.0,5,295000
Maruti Ignis,Maruti,Ignis,4,47063,Dealer  ,Petrol,M/T,20.89,1197,81.8,5,525000
Maruti Baleno,Maruti,Bal3no,2,20000,INDIVIDUAL,Diesel,Manual  ,27.39,1248,74.0,5,665000
Maruti Ciaz,  Maruti,Ciaz,3,15000,Dealer,Gasoline,Manual,20.65,1462,103.25,5,800000
Maruti Swift Dzire,Maruti,Swift Dzire,13,115000,Individual,Petrol,Manual,17.5,1298,85.8,5,250000
Maruti Ertiga,,Ertiga,5,61149,Dealer,Petrol,Manual,19.01,1462,103.26,7,755000
Hyundai Verna,Hyundai,Verna,2,14200,dealer,Petrol,Manual,17.0,1591,121.3,5,945000
Hyundai i20,Hyundai,i20,3,16000,Dealer,Petrol,M/T,17.19,1197,81.86,5,750000
Maruti Ertiga,Maruti,Ertig,8,187420,Dealer,Diesel Fuel,Manual,20.77,1248,88.8,7,670000
Maruti Ciaz,Maruti  ,Ciaz,6,49986,Car Dealer,Diesel,M/T,26.21,1248,88.5,5,610000
Hyundai Grand,Hyundai,Grand,4,25000,Owner,Gas,Manual,18.9,1197,81.86,5,500000
Maruti Ertiga,,Ertiga,7,96000, Dealer,Diesel,Manual,20.77,1248,88.76,7,665000
Maruti Ertiga,MARUTI,Ertiga,5,20000,Individual ,CNG,Manual,17.5,1373,80.46,7,825000
Maruti Swift,Maruti,Swift,5,38000,Owner,Diesel,Manual,25.2,1248,74.0,5,625000
Toyota Innova,TOYOTA,Innova,13,190000,Dealer,Diesel Fuel,Manual,12.8,2494,102.0,8,400000
Hyundai Santro,Hyunda,Santro,2,7000,dealer,Petrol,Manual,20.3,1086,68.07,5,510000
Ford Figo,foRD ,FIGo,8,46000,Dealer,Diesel,Manual,20.0,1399,68.05,5,294000
Tata Tigor,Tata ,Tigor,3,10000,Individual,Gasoline,Manual,20.3,1199,84.0,5,650000
Maruti Swift Dzire,MarUTi,Swift Dzire,9,79000,Owner,Diesel,Manual,23.4,1248,74.0,5,498000
Maruti Alto,Maruti,Alto,4,70000,Owner,Petrol,Manual ,24.07,998,67.1,5,300000
Maruti Swift,Maruti  ,Swif,9,85000,Individual,,Manual,22.9,1248,74.0,5,400000
Hyundai i20,Hyundai,i20,10,88000,Dealer,Diesel Fuel,Manual,23.0,1396,90.0,5,325000
Maruti Alto,Maruti,Alto,7,16600,dealer,Petrol,Manual,22.74,796,47.3,5,265000
Tata Tiago,Tata,Tiago,4,40000,Owner,,M/T,23.84,1199,84.0,5,465000
Honda City,Honda,City,8,37000,Dealer,Petrol,Manual,17.0,1497,118.0,5,486000
Toyota Innova, Toyota,innova,10,125000,Car Dealer,Diesel,  Manual,12.8,2494,102.0,7,675000
Honda City,HONDA,City,3,18000,Dealer,Diesel Fuel,Manual,26.0,1498,98.6,5,1150000
Toyota Innova,Toyota  ,Innova,14,95000,Dealer,Diesel,Manual,12.8,2494,102.0,8,474000
Honda City,Honda,City,6,35000,Individual,Gas,Manual,17.4,1497,117.3,5,750000
Hyundai i20,Hyundai,i20,11,49000,Dealer,Petrol,Manual,18.5,1197,80.0,5,260000
Renault KWID,Renault,KWID,4,19000,Dealer,Petrol,MANUAL,25.17,799,53.3,5,335000
Honda City,Hond,city,13,165000, Individual,Petrol,Manual,16.8,1497,116.4,5,300000
Maruti Swift,Maruti,Swift,9,120000,,Diesel,M/T,22.9,1248,74.0,5,380000
Mahindra KUV100,Mahindra,KUV100,4,12950,Dealer,Petrol,MAN,18.15,1198,82.0,6,399000
Mini Cooper,Mini,Cooper,8,35000,Dealer,Diesel,Automatic,23.8,1998,112.0,5,1490000
Skoda Rapid,skoda,Rapid,5,47000,Dealer,Diesel,Automatic,21.66,1498,103.52,5,700000
Hyundai Creta,Hyundai,Creta,5,71000, Dealer,Diesel,A/T,17.01,1582,126.2,5,1080000
Honda WR-V,honda,WR-V,3,40000,,Diesel,,25.5,1498,98.6,5,1000000
Hyundai Santro,Hyundai,Santro,8,29000,Dealer,Gasoline,Manual,17.92,1086,62.1,5,250000
Hyundai Creta,Hyundai,creta,4,31191,Dealer,Gasoline,Manual,13.0,1591,121.3,5,985000
Maruti Ertiga,Maruti,Ertiga,5,50000,,Diesel,M/T,24.52,1248,88.5,7,950000
Renault KWID,R3nault,KWID,4,19200,Dealer,Gasoline,Automatic,24.04,999,67.0,5,349000
Renault Duster,Renault,Duster,8,72396,Dealer,,Manual  ,19.01,1461,108.45,5,528000
Volkswagen Vento,Volkswagen,Vento,10,164000,Individual,,Manual,20.54,1598,103.6,5,350000
Maruti Baleno,Marut,Baleno,5,14500,Dealer,Gas,Manual  ,21.4,1197,83.1,5,560000
BMW 5,BMW,5,10,60000,Dealer,Diesel,Automatic,18.48,1995,177.0,5,1199000
Toyota Innova,Toyot,Innova,15,110000,Dealer,Diesel Fuel,Manual,12.8,2494,102.0,7,390000
Renault KWID,R3nault,KWID,4,20000,Individual,Petrol,M/T,23.01,999,67.0,5,350000
Jaguar XF,Jaguar,XF,5,20837,Dealer,Diesel,Automatic,19.33,1999,177.0,5,3450000
Datsun GO,Datsun,GO,5,40000,Individual,Petrol,M/T,19.44,1198,67.0,7,400000
Jeep Compass,jeep,Compass,4,35000,Owner,Diesel,Manual  ,17.1,1956,170.0,5,1600000
Hyundai Verna,Hyundai,Verna,5,66523,Dealer,Diesel,Manual,23.9,1582,126.2,5,775000
Hyundai Elantra,Hyundai,Elantra,8,34800,  Dealer,Petrol,Automatic,14.5,1797,147.5,5,675000
Maruti Swift Dzire,Maruti,swift dzire,11,87000,Car Dealer,Diesel,M/T,19.3,1248,73.9,5,325000
Skoda Superb,Skoda,Superb,11,64430,Dealer,Petrol,A/T,13.7,1798,157.75,5,375000
Jaguar XF,Jaguar,XF,7,26000,Dealer,Diesel,A/T,16.36,2179,187.7,5,2550000
Honda Amaze,Honda,amaze,7,110000,Individual,Diesel Fuel,MAN,25.8,1498,98.6,5,375000
Maruti Eeco,Maruti,Eeco,2,7647,Dealer,Gas,Manual,16.11,1196,72.42,5,465000
Maruti Alto,Marut,Alto,15,15000,Owner,Gas,Manual,19.7,796,46.3,5,120000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,12,78000,Owner,Diesel Fuel,A/T,14.21,2143,203.0,5,660000
BMW X3,BMW,X3,8,110000,Dealer,Diesel  ,A/T,16.09,1995,184.0,5,1390000
Hyundai Verna,Hyundai,Verna,4,70000,Individual,,M/T,17.01,1591,121.3,5,850000
Ford Figo,Ford,Figo,10,18800,Individual,Petrol,Manual,15.6,1196,70.0,5,225000
Volkswagen Vento,Volkswagen,Vento,6,102000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,590000
Volkswagen Vento,  Volkswag3n,Vento,5,110000,individual,Diesel,  Automatic,22.15,1498,108.6,5,750000
Toyota Innova,TOYOTA,innOVA,3,27000,Dealer,Diesel Fuel,Automatic,13.68,2393,147.51,8,1890000
Maruti Eeco,Maruti,Eeco,5,16000,Dealer,Petrol,  Manual,15.37,1196,73.0,5,385000
Volkswagen Vento,Volkswagen,Vento,6,48000,Car Dealer,Diesel,Manual,20.34,1498,103.2,5,490000
Volkswagen Polo,Volkswag3n,Polo,9,58200,Car Dealer, Petrol,Manual,16.47,1198,73.9,5,325000
Mercedes-Benz C-Class,Mercedes-Benz,C-Clas,13,57000,Dealer,Petrol, Manual,11.7,1796,178.0,5,425000
Hyundai Verna,Hyundai,Verna,9,88221,Car Dealer,Diesel ,MAN,22.32,1582,126.32,5,511000
Hyundai i10,Hyundai,i10,11,70000,Owner,Gas,Manual,19.81,1086,68.05,5,199000
Volkswagen Polo,vOLKSwAgen,Polo,6,49000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,621000
Honda City,Honda ,City,9,37000,Dealer,Petrol,MAN,17.4,1497,117.6,5,425000
Maruti Celerio,Marut,C3lerio,3,30700,dealer,Petrol,MAN,21.63,998,67.0,5,521000
Skoda Octavia,Skoda ,Octavia,5,68387,,Diesel,Automatic,19.3,1968,141.0,5,950000
Honda Jazz,Honda,Jazz,5,60000,Individual,Diesel,Manual,27.3,1498,98.6,5,575000
Mercedes-Benz S-Class,mErCeDEs-beNz,S-Class,10,57000,Car Dealer,Petrol,A/T,10.13,3498,364.9,5,1850000
Toyota Fortuner,Toyota,Fortuner,4,70000,Car Dealer,Diesel,Manual,14.24,2755,174.5,7,2550000
Hyundai i20,Hyunda,i20,4,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,780000
Toyota Fortuner,Toyota,Fortuner,8,170000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1435000
Maruti Ciaz,Marut,Ciaz,5,31000,DEALER,Petrol,Manual,20.73,1373,91.1,5,600000
Volkswagen Polo,,Polo,8,92000,Dealer,Petrol,AUTO,17.2,1197,103.6,5,540000
Volkswagen Polo,Volkswagen,Polo,8,33000,Dealer,Gas,M/T,16.47,1198,73.9,5,395000
Maruti Swift Dzire,Maruti ,Swift Dzire,10,88000,Dealer,Diesel,Manual,19.3,1248,73.9,5,365000
Ford Figo,Ford,Figo,9,69000,DEALER,Diesel,Manual,20.0,1399,68.05,5,225000
Maruti Swift,Maruti,Swift,3,24000,Car Dealer,Diesel,Automatic,28.4,1248,74.0,5,750000
Volkswagen Vento,Volkswagen,Vento,6,26000,Car Dealer,Petrol,Automatic,16.93,1197,103.2,5,645000
Maruti Swift Dzire,,Swift Dzire,4,35000,Owner,Diesel,Manual,28.4,1248,74.02,5,750000
Maruti Alto,Maruti,Alto,29,22612,Dealer,Petrol,maNuaL,22.05,796,47.3,5,60000
Renault KWID,Renault,KWID,3,10000,Owner,Petrol,Manual,23.01,999,67.0,5,350000
Maruti Alto,Maruti,Alto,7,40000,Individual,Petrol,M/T,22.74,796,47.3,5,166000
Mahindra Bolero,Mahindra,Bolero,6,150000,Dealer,Diesel Fuel,Manual,15.96,2523,62.1,7,550000
Hyundai Verna,Hyundai,Verna,15,70000,Individual,Diesel,Manual,16.8,1493,110.0,5,125000
Tata Nexon,Tata,Nexon,2,5000,Car Dealer,Gas,Automatic,17.0,1198,108.5,5,931000
Volkswagen Polo,Volkswagen,Polo,10,65894,Dealer,Petrol,Manual,16.47,1198,73.9,5,375000
Volkswagen Polo,Volkswagen,Polo,7,42000,Dealer,Petrol,AUTO,17.21,1197,103.6,5,610000
BMW 3,BMW,3,11,96000,Dealer,,A/T,22.69,1995,190.0,5,974000
Renault KWID,Renault,KWID,6,45006,Dealer,Petrol,M/T,25.17,799,53.3,5,269000
Maruti Swift Dzire,Maruti,Swift Dzire,10,51000,Car Dealer,Petrol,Manual,17.5,1197,85.8,5,340000
Tata Hexa,Tata,HEXA,4,30000,Individual,Diesel,A/T,17.6,2179,153.86,7,1450000
Hyundai Grand,Hyundai,Grand,4,22000,Car Dealer,  Petrol,Manual,18.9,1197,81.86,5,485000
Maruti Vitara,Maruti,Vitara,3,32000,Dealer,Diesel Fuel,MAN,24.3,1248,88.5,5,920000
Hyundai i20,Hyundai,i20,3,39000,Owner, Petrol,MAN,18.6,1197,81.83,5,653000
Ford Ecosport,Ford,Ecospor,4,14000,Car Dealer,Petrol,Manual,15.85,1499,110.4,5,650000
Hyundai Grand,Hyundai,Grand,4,15000,Car Dealer,Petrol,Automatic,18.9,1197,81.86,5,581000
Maruti Ertiga,Maruti,Ertiga,7,38000,Dealer,Petrol,MAN,16.02,1373,93.7,7,585000
Hyundai i10,Hyundai,i10,12,15000,Owner,Gas,Manual,20.36,1197,78.9,5,165000
Hyundai i10,Hyundai,i10,9,50000,Car Dealer,Petrol,Manual,20.36,1197,78.9,5,311000
Volkswagen Polo,,Polo,4,32000,Dealer,Diesel  ,Manual,20.14,1498,88.7,5,655000
Maruti Vitara,Maruti,Vitara,3,43000,Dealer,Diesel Fuel,Automatic,24.3,1248,88.5,5,975000
Hyundai i20,Hyundai,i20,9,76000,Dealer,,Manual,21.9,1396,88.76,5,385000
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,3,12000,Dealer,Diesel ,Automatic,17.9,2143,167.6,5,4590000
Ford Ecosport,Ford,Ecosport,5,33000,Dealer,Gas,  Automatic,16.05,1499,110.4,5,745000
Hyundai i20,hyundai,I20,3,20000,Dealer,Petrol,AUTO,17.4,1197,81.86,5,795000
Maruti Baleno,MARUtI,Baleno,3,4700,Dealer,Petrol,MAN,21.01,1197,81.8,5,675000
Hyundai i20,hyunda,i20,5,35000,Car Dealer,Gasoline,Manual,17.19,1197,81.86,5,650000
Mahindra XUV500,Mahindr,XUV500,9,120000,Individual,Diesel,MANUAL,15.1,2179,140.0,7,600000
Maruti Alto,Maruti,Alto,5,20000,Owner,Petrol,Manual,23.95,998,67.05,5,315000
Hyundai Verna,,Verna,11,72000,Car Dealer,Diesel Fuel,Manual,16.2,1493,110.0,5,410000
Mini Cooper,Mini ,Cooper,7,29000,Car Dealer,Diesel,AUTO,23.8,1998,112.0,5,1750000
Maruti Ciaz,Maruti,Ciaz,6,67927,Dealer,PeTRol,Manual,20.73,1373,91.1,5,650000
Hyundai i20,,i20,2,34900,Dealer,petrol,M/T,18.6,1197,81.83,5,710000
Ford Ecosport,Ford,Ecospor,5,125000,Car Dealer,,Manual,22.77,1498,98.59,5,651000
Ford Endeavour,Ford ,Endeavour,4,79000,Dealer,Diesel,A/T,10.91,3198,197.0,7,2750000
Maruti Baleno,Maruti,Baleno,4,15000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
Jeep Compass,Jeep,Compass,3,25000,Dealer,Petrol,Automatic,16.0,1368,160.0,5,1700000
Maruti Ciaz,MaruTi,Ciaz,7,65000,,,M/T,20.73,1373,91.1,5,540000
Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,Owner,CNG,MAN,19.0,1197,85.8,5,325000
Hyundai i20,Hyundai,i20,7,47900,,Petrol,Automatic,15.0,1396,98.6,5,510000
BMW X1,BMW,X1,8,56000,Individual,Diesel,Automatic,17.05,1995,184.0,5,1280000
Toyota Innova,,Innova,9,120000,Individual,Diesel,M/T,12.8,2494,102.0,7,800000
Maruti Wagon R,Maruti,Wagon R,7,61000,Dealer,Petrol,Manual,20.51,998,67.04,5,350000
Toyota Fortuner,Toyota,Fortuner,10,175000,Car Dealer,Diesel,Manual,11.5,2982,171.0,7,1075000
Maruti Alto, Maruti,Alto,6,70000,Individual,Gasoline,Manual,22.74,796,47.3,5,240000
Hyundai i20,Hyundai,i20,2,4000,DEALER, Petrol,Automatic,15.0,1396,100.0,5,875000
Mahindra Bolero,Mahindra,Bolero,4,60000,,,Manual,16.5,1493,70.0,7,800000
Maruti Alto,Maruti,Alto,3,5917,Car Dealer,Petrol,MAN,23.95,998,67.05,5,371000
Skoda Superb,Skoda,Superb,10,56468,Dealer,Petrol,Manual,13.14,1798,157.8,5,479000
Hyundai i20,Hyundai,i20,4,41280,dealer,Gasoline,Manual,17.0,1197,80.0,5,585000
Hyundai Grand,Hyundai,Grand,7,49000,,Gas,Manual,18.9,1197,82.0,5,459000
Honda WR-V,Honda,WR-V,4,58000,Car Dealer,Diesel Fuel,Manual,25.5,1498,98.6,5,885000
Hyundai Elantra,Hyunda,Elantra,7,57000,,Diesel,Automatic,19.5,1582,126.24,5,785000
BMW 5,BMW,5,8,55000,Car Dealer,Diesel Fuel,,18.48,1995,177.0,5,1500000
Hyundai i20,Hyundai,i20,4,24000,,Diesel,MAN,22.54,1396,88.73,5,750000
Maruti Ertiga,Marut,Ertiga,6,50000,Individual,Diesel,MAN,20.77,1248,88.76,7,707000
Maruti Ertiga,Maruti,Ertiga,7,51890,Car Dealer,CNG,MANUAL,17.5,1373,80.46,7,595000
Honda City,Honda  ,City,14,58641,Dealer,Petrol,Manual,17.7,1497,78.0,5,195000
Toyota Innova,,Innova,8,117000,Dealer  ,Diesel Fuel,Manual,12.99,2494,100.0,7,950000
Maruti Ciaz,,Ciaz,4,25000,Car Dealer,Petrol,Automatic,19.12,1373,91.1,5,795000
Hyundai Grand,Hyundai,GRAND,4,20000,Owner,Petrol  ,MAN,18.9,1197,82.0,5,615000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,24323,Car Dealer,Diesel,Automatic,14.84,2143,167.62,5,3375000
Maruti Baleno,Maruti,Baleno,3,21000,Dealer,Petrol ,M/T,21.01,1197,81.8,5,731000
Honda City,  Honda,City,8,67000,Dealer,Gas,A/T,15.6,1497,116.3,5,475000
Renault KWID,  Renault,KWID,5,7000,Dealer, Petrol,Manual,22.3,799,53.26,5,325000
Renault KWID,  Renault,kwid,3,42000,Car Dealer,Petrol,Manual,23.01,999,67.0,5,400000
Hyundai Verna,  Hyundai,Verna,10,58000,DEaLER,Petrol,,17.1,1591,121.3,5,399000
Maruti Ciaz,Maruti,Ciaz,4,31400,Car Dealer,Diesel,Manual,28.09,1248,88.5,5,785000
Hyundai Creta,Hyundai,Creta,4,35000,Individual,Diesel Fuel,Manual,19.67,1582,126.2,5,1125000
Ford Ecosport,Ford,Ecosport,8,56260,Dealer,Petrol,M/T,18.88,999,123.37,5,499000
Maruti Wagon R,Maruti,Wagon,14,115000,DEaleR,  Petrol, Manual,21.79,998,67.05,5,110000
Hyundai i10,Hyundai,i10,8,34579,Dealer,Gas,,20.36,1197,78.9,5,295000
Volkswagen Vento,  Volkswagen,Vento,6,27000,Car Dealer,Petrol,A/T,16.93,1197,103.2,5,665000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,11,70000,,Petrol,,10.93,2497,204.0,5,1000000
Hyundai i20,Hyundai,i20,4,20000,Dealer,Petrol,M/T,18.6,1197,81.83,5,690000
Maruti Alto,Maruti,Alto,13,50000,Dealer,Petrol,MAN,19.7,796,46.3,5,145000
Volkswagen Vento,,Vento,10,59526,Dealer,Diesel,Manual,20.54,1598,103.6,5,375000
Maruti Ciaz,Maruti,ciaz,3,25000,DeALEr,Gasoline,MAN,20.65,1462,103.25,5,765000
Mahindra Bolero,  Mahindra,Bolero,6,62248,Dealer,Diesel Fuel,Manual,13.6,2523,63.0,7,650000
Maruti Ciaz,Maruti,Ciaz,5,67518,Dealer,Diesel,MAN,28.09,1248,88.5,5,755000
Maruti Ertiga,,Ertiga,7,54000,Dealer,CNG,,22.8,1373,80.9,7,675000
Toyota Innova,,Innova,7,92965,Dealer,diesel,Manual,12.99,2494,100.57,7,1025000
Datsun GO,Datsun,GO,6,22211,,Petrol,Manual,19.02,1198,67.05,5,249000
Toyota Innova,Toyot,Innova,9,255000,Individual,,Manual,12.8,2494,102.0,8,725000
Maruti Swift,Maruti,Swift,7,47000,deAleR,Diesel,Manual,22.9,1248,74.0,5,500000
Honda Civic,Honda,Civic,13,57000,Dealer,,Automatic,13.9,1799,130.2,5,250000
Renault KWID,,KWID,4,8560,Dealer,Petrol,,24.04,999,67.0,5,371000
Maruti Swift Dzire,,Swift Dzire,4,72000,Individual,Diesel,Manual,26.59,1248,74.0,5,720000
Maruti Wagon R,Maruti,Wagon,6,39983,Dealer,Gas,Manual,21.79,998,67.05,5,425000
Hyundai Grand,Hyunda,Grand,6,78000,Car Dealer,Petrol,Manual,18.9,1197,82.0,5,425000
Ford Ecosport,Ford,Ecosport,1,6000,,DIESEL,Manual,23.0,1498,98.96,5,1095000
Honda City, Honda,City,5,32000,Car Dealer,,Automatic,18.0,1497,117.3,5,845000
Hyundai Creta,Hyundai,Cr3ta,6,81000,,Diesel,M/T,19.67,1582,126.2,5,975000
Maruti Dzire VXI,Maruti,Dzire VXI,9,24000,Dealer,Petrol,Automatic,24.12,1197,88.5,5,411000
Honda Amaze,Honda,AMAZE,8,64000,,Diesel,Manual,25.8,1498,98.6,5,396000
Maruti Baleno,Maruti,Baleno,3,22000,Dealer,Petrol,Manual,21.4,1197,83.1,5,750000
Ford Figo,Ford,Figo,10,48971,Dealer,Diesel,manual,20.0,1399,68.0,5,282000
Maruti Wagon R,Maruti  ,Wagon R,6,40000,Owner,,Automatic,20.51,998,67.04,5,450000
Mahindra XUV500,Mahindra,XUV500,4,89200,Owner,Diesel Fuel,A/T,16.0,2179,140.0,7,1650000
Hyundai Grand,Hyundai,Grand,4,16000,Dealer,,Manual,18.9,1197,82.0,5,490000
Ford Ecosport,Ford,Ecospor,7,44406,Dealer,Petrol,Manual,18.88,999,123.24,5,650000
Mahindra Bolero,Mahindra,Bolero,11,25000,Owner,Diesel,Manual,13.6,2523,63.0,7,250000
Datsun GO,Datsun,GO,5,15000,Individual,Gas,Manual,19.44,1198,67.0,7,350000
Hyundai i20,Hyundai,i20,4,27266,Dealer,Petrol,Manual,18.6,1197,81.83,5,700000
Tata Safari,Tata,Safari,11,60893,Car Dealer,Diesel Fuel,Manual,11.57,2179,138.1,7,350000
Honda Amaze,Honda,Amaze,4,50000,Owner,Petrol,Manual,17.8,1198,86.7,5,550000
Maruti Swift,Maruti,Swift,13,120000,Individual,Diesel,Manual,17.8,1248,75.0,5,250000
Maruti Swift Dzire,Maruti,Swift Dzire,7,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,475000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,73000,Car Dealer,Diesel,Automatic,14.84,2143,170.0,5,1075000
Toyota Innova,Toyota,Innova,7,86000,Car Dealer,Diesel,M/T,12.8,2494,102.0,7,995000
Datsun RediGO,Datsun,RediGO,4,20000,Dealer,Petrol,Manual,22.5,999,67.0,5,271000
Hyundai i10,Hyunda,i10,9,62000,  Dealer,  Petrol,Manual,19.81,1086,68.05,5,255000
Maruti Ertiga,Maruti,Ertiga,3,36352,Car Dealer,Petrol,Manual,19.34,1462,103.0,7,855000
Maruti Ciaz,Maruti,Ciaz,6,48000,dealer,Diesel Fuel,Manual,26.21,1248,88.5,5,685000
Maruti Swift,maruti,Swift,8,78278,Dealer,Diesel Fuel,Manual,22.9,1248,74.0,5,475000
Volkswagen Polo,  Volkswag3n,Polo,6,100000,Owner,Diesel Fuel,Manual,20.14,1498,88.8,5,450000
Toyota Innova,Toyot,Innov,5,53380,Dealer,Diesel,AUTOMATIC,13.68,2393,147.51,8,1650000
Tata Tigor,Tata ,Tigor,3,60204,Dealer,Diesel Fuel,Manual,24.7,1047,69.0,5,525000
Hyundai i20,Hyundai,i20,5,68000,Dealer,Diesel,Manual,22.54,1396,88.73,5,720000
