car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol
Hyundai i20,Hyundai,I20,11.0,90000,Manual,23.0,1396.0,90.0,5,310000,1,0,1,0,1,0,0
Maruti Eeco,Maruti,Eeco,6.0,59000,Manual,15.1,1196.0,73.0,7,365000,1,1,0,0,0,0,1
Hyundai i10,Hyundai,I10,9.0,40000,Automatic,16.95,1197.0,78.9,5,335000,0,1,0,1,0,0,0
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,7.0,40000,Automatic,13.0,2143.0,174.52500000000003,5,2070000,0,0,1,0,1,0,0
Mahindra XUV500,Mahindra,Xuv500,5.0,95000,Automatic,16.0,2159.5,140.0,7,875000,0,0,1,0,1,0,0
Toyota Innova,Toyota,Innova,13.0,85216,Manual,12.8,2159.5,100.59431352459016,7,465000,1,1,0,0,1,0,0
Tata Safari,Tata,Safari,4.0,100000,Manual,11.57,2159.5,138.1,7,280000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,Verna,5.0,100000,Manual,23.9,1582.0,126.2,5,700000,1,0,1,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,11.0,97000,Manual,10.5,2159.5,100.59431352459016,7,475000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,5.0,90000,Manual,19.692493169398904,1396.0,88.73,5,540000,1,0,1,0,1,0,0
Hyundai Grand,Hyundai,Grand,4.0,7000,Manual,18.9,1197.0,82.0,5,490000,1,0,1,0,0,0,1
Maruti Vitara,Maruti,Vitara,4.0,80000,Manual,24.3,1248.0,88.5,5,830000,1,0,1,0,1,0,0
Maruti Swift,Maruti,Swift,6.0,56562,Manual,25.2,1248.0,74.0,5,540000,1,1,0,0,1,0,0
Maruti Swift,Maruti,Swif,3.0,25000,Manual,22.0,1197.0,81.8,5,550000,1,0,1,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,6.0,46000,Manual,16.47,1198.0,74.0,5,491000,1,1,0,0,0,0,1
Maruti Ciaz,Maruti,Ciaz,6.0,36681,Manual,20.73,1373.0,91.1,5,611000,1,1,0,0,0,0,1
Hyundai Creta,Hyundai,Creta,5.0,80000,Manual,13.0,1591.0,121.3,5,925000,1,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,12.0,100000,Manual,13.6,2159.5,63.0,7,260000,1,1,0,0,1,0,0
Toyota Innova,Toyota,Innova,6.0,130000,Manual,12.99,2159.5,100.6,8,1151000,1,1,0,0,1,0,0
Land Rover Rover,Land Rover,Rover,5.0,27690,Automatic,12.81,1999.0,148.31,7,3200000,0,1,0,0,1,0,0
Tata Safari,Tata,Safar,8.0,120000,Manual,14.0,2159.5,138.1,7,425000,1,0,1,0,1,0,0
Maruti Wagon R,Maruti,Wagon R,5.0,22756,Manual,21.79,998.0,67.05,5,421000,1,1,0,1,0,0,0
Tata Safari,Tata,Safari,8.0,63000,Manual,13.93,2159.5,138.03,7,450000,1,1,0,0,1,0,0
Maruti Alto,Maruti,Alto,14.0,80000,Manual,19.7,796.0,46.3,5,60000,1,0,1,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,7.0,86000,Manual,15.96,2159.5,62.1,7,460000,1,0,1,0,1,0,0
Skoda Rapid,Skod,Rapi,6.0,27000,Manual,15.0,1598.0,103.6,5,525000,1,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,3.0,55373,Manual,22.54,1396.0,88.73,5,750000,1,1,0,0,1,0,0
Hyundai Creta,Hyundai,Cr3Ta,3.0,22000,Manual,22.1,1396.0,88.7,5,1015000,1,1,0,0,1,0,0
Maruti Ertiga,Maruti,Ertiga,8.0,80000,Manual,20.77,1248.0,88.8,7,711000,1,1,0,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzir3,9.0,120000,Manual,19.3,1248.0,73.9,5,460000,1,0,1,0,1,0,0
Mahindra XUV500,Mahindra,Xuv500,9.0,68420,Manual,15.1,2159.5,140.0,7,615000,1,1,0,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,7.0,63000,Manual,23.4,1248.0,74.0,5,595000,1,1,0,0,1,0,0
Maruti Ciaz,Maruti,Ciaz,3.0,35000,Manual,26.32,1498.0,93.87,5,755000,1,1,0,0,1,0,0
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,3.0,15200,Automatic,16.1,1950.0,174.52500000000003,5,4500000,0,1,0,0,1,0,0
Maruti Eeco,Maruti,Eeco,5.0,64850,Manual,21.94,1196.0,100.59431352459016,5,320000,1,0,1,1,0,0,0
Mahindra XUV500,Mahindra,Xuv500,6.0,51000,Manual,15.1,2159.5,140.0,7,945000,1,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,4.0,48000,Manual,18.6,1197.0,81.83,5,600000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,10.0,58222,Manual,22.32,1582.0,100.59431352459016,5,421000,1,1,0,0,1,0,0
Toyota Fortuner,Toyota,Fortuner,9.0,75000,Manual,13.0,2159.5,168.5,7,1249000,1,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,13.0,30008,Manual,19.7,796.0,100.59431352459016,5,175000,1,1,0,0,0,0,1
Maruti Baleno,Maruti,Baleno,3.0,10398,Manual,27.39,1248.0,74.0,5,840000,1,1,0,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzir3,5.0,90000,Manual,20.85,1197.0,83.14,5,550000,1,0,1,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,4.0,64253,Manual,14.0,2159.5,75.0,7,625000,1,1,0,0,1,0,0
Hyundai Grand,Hyundai,Grand,4.0,30000,Manual,18.9,1197.0,81.86,5,480000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,Verna,8.0,64308,Automatic,18.0,1197.0,126.2,5,485000,0,1,0,0,1,0,0
Maruti Alto,Maruti,Alto,11.0,53503,Manual,19.7,796.0,46.3,5,175000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,4.0,24835,Manual,17.43,1396.0,105.5,5,575000,1,0,0,0,0,0,1
Maruti Swift,Maruti,Swift,4.0,14000,Manual,20.4,1197.0,81.8,5,500000,1,1,0,0,0,0,1
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10.0,46000,Automatic,10.93,2159.5,174.52500000000003,5,1250000,0,1,0,0,0,0,1
Honda City,Hond,City,6.0,48623,Manual,19.692493169398904,1498.0,100.59431352459016,5,670000,1,1,0,0,0,0,1
Maruti Swift,Maruti,Swift,4.0,96000,Manual,19.692493169398904,1248.0,74.0,5,490000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,3.0,23000,Manual,18.6,1197.0,81.83,5,751000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,9.0,88500,Manual,22.32,1582.0,126.32,5,550000,1,1,0,0,1,0,0
Tata Tiago,Tata,Tiago,4.0,11500,Automatic,23.84,1199.0,83.83,5,535000,0,1,0,0,0,0,1
Ford Ecosport,Ford,Ecosport,6.0,29500,Manual,15.63,1499.0,110.4,5,655000,1,1,0,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,4.0,51952,Manual,20.14,1498.0,88.0,5,750000,1,1,0,0,1,0,0
Mahindra Bolero,Mahindra,Bolero,11.0,90000,Manual,13.6,2159.5,63.0,7,400000,1,0,1,0,1,0,0
Tata Tiago,Tata,Tiago,3.0,5000,Manual,23.84,1199.0,84.0,5,565000,1,1,0,0,0,0,1
Maruti Alto,Marut,Alto,10.0,9000,Manual,19.7,796.0,46.3,5,160000,1,1,0,0,0,0,1
Honda City,Honda,City,11.0,34000,Manual,17.0,1497.0,118.0,5,325000,1,1,0,0,0,0,1
Volvo XC90,Volvo,Xc90,6.0,80000,Automatic,17.2,1969.0,174.52500000000003,7,4350000,0,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,7.0,41000,Manual,18.5,1197.0,80.0,5,385000,1,1,0,0,0,0,1
Renault Duster,Renault,Dust3R,4.0,7489,Manual,19.6,1197.0,108.45,5,900000,1,0,1,0,1,0,0
Maruti Ciaz,Maruti,Ciaz,3.0,41000,Automatic,19.12,1197.0,91.1,5,895000,0,1,0,0,0,0,1
Maruti Vitara,Marut,Vitara,5.0,53085,Manual,24.3,1248.0,88.5,5,825000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,7.0,44000,Manual,17.0,1197.0,80.0,5,535000,1,1,0,0,0,0,1
Volkswagen Vento,Volkswagen,Vento,10.0,84000,Manual,15.04,1598.0,103.6,5,260000,1,1,0,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,4.0,49000,Automatic,17.21,1197.0,103.6,5,695000,0,1,0,0,0,0,1
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,6.0,35000,Automatic,14.74,1991.0,174.52500000000003,5,2100000,0,0,1,0,0,0,1
Toyota Innova,Toyota,Innova,4.0,60100,Automatic,11.36,2159.5,171.5,7,1750000,0,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,14.0,55000,Manual,16.1,1197.0,85.0,5,145000,1,1,0,0,0,0,1
Renault Triber,Renault,Trib3R,2.0,10000,Manual,20.0,999.0,72.0,7,660000,1,0,1,0,0,0,1
Mercedes-Benz E-Class,Maruti,E-Clas,10.0,40000,Automatic,14.21,2143.0,174.52500000000003,5,1050000,0,0,1,0,1,0,0
Maruti Ertiga,Maruti,Ertig,9.0,90339,Manual,16.02,1373.0,93.7,7,495000,1,1,0,1,0,0,0
Hyundai Grand,Hyunda,Grand,5.0,14000,Manual,18.9,1197.0,82.0,5,495000,1,0,1,0,0,0,1
Skoda Rapid,Skod,Rapid,8.0,69000,Manual,15.0,1598.0,100.59431352459016,5,325000,1,1,0,0,0,0,1
Honda City,Honda,City,14.0,89000,Manual,17.7,1497.0,78.0,5,113000,1,0,1,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,7.0,120000,Manual,15.4,2159.5,120.0,7,800000,1,0,1,0,0,0,1
Hyundai Verna,Maruti,V3Rna,3.0,26000,Automatic,19.08,1582.0,126.2,5,1245000,0,1,0,0,1,0,0
Tata Safari,Tata,Safar,11.0,120000,Manual,13.93,2159.5,138.1,7,250000,1,0,1,0,1,0,0
Volkswagen Vento,Volkswagen,Vento,7.0,59200,Automatic,16.93,1197.0,103.2,5,540000,0,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,3.0,35000,Manual,23.95,998.0,67.1,5,350000,1,0,1,0,0,0,1
Maruti Ertiga,Maruti,Ertiga,8.0,130000,Manual,20.77,1248.0,88.8,7,660000,1,0,1,0,1,0,0
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9.0,88000,Automatic,19.692493169398904,2143.0,170.0,5,1150000,0,1,0,0,0,0,1
Maruti Baleno,Maruti,Baleno,4.0,21900,Automatic,19.56,1197.0,81.8,5,700000,0,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,6.0,43206,Manual,20.85,1197.0,83.14,5,480000,1,1,0,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,7.0,43000,Manual,16.47,1198.0,73.9,5,479000,1,1,0,0,0,0,1
Hyundai Creta,Hyundai,Creta,4.0,77000,Manual,21.38,1396.0,100.59431352459016,5,1100000,1,0,1,0,1,0,0
Honda City,Hond,City,3.0,27000,Manual,25.6,1498.0,97.9,5,1175000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,12.0,50250,Automatic,15.0,1396.0,100.0,5,299000,0,1,0,0,0,0,1
Tata Tiago,Tata,Tiago,4.0,52532,Manual,23.84,1199.0,84.0,5,450000,1,1,0,0,0,0,1
Hyundai i20,Hyunda,I20,6.0,12000,Manual,18.6,1197.0,81.83,5,625000,1,1,0,0,0,0,1
Renault KWID,Renault,Kwid,3.0,15235,Manual,23.01,999.0,67.0,5,410000,1,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,8.0,49000,Manual,18.5,1197.0,82.85,5,500000,1,1,0,0,0,0,1
BMW 3,Bmw,3,4.0,57000,Automatic,15.34,1998.0,174.52500000000003,5,2550000,0,1,0,0,0,0,1
Honda City,Honda,City,7.0,39000,Automatic,18.0,1497.0,117.3,5,695000,0,1,0,1,0,0,0
Skoda Rapid,Skod,Rapid,8.0,30000,Manual,15.0,1598.0,103.52,5,395000,1,1,0,0,0,0,1
Honda City,Honda,City,11.0,92000,Manual,17.0,1497.0,118.0,5,300000,1,1,0,0,0,0,1
Maruti Swift,Maruti,Swift,14.0,60000,Manual,19.692493169398904,1298.0,100.59431352459016,5,149000,1,0,1,0,0,0,1
Audi A6,Audi,A6,10.0,105000,Automatic,12.4,2159.5,174.52500000000003,5,857000,0,0,1,0,1,0,0
Maruti Swift Dzire,Marut,Swift Dzire,3.0,29500,Automatic,21.21,1197.0,81.8,5,745000,0,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,6.0,17000,Manual,23.95,998.0,67.1,5,320000,1,1,0,0,0,0,1
Renault KWID,Maruti,Kwid,4.0,20966,Manual,19.692493169398904,799.0,53.3,5,349000,1,1,0,0,0,0,1
Mahindra XUV500,Mahindra,Xuv500,8.0,73000,Manual,15.1,2159.5,140.0,7,675000,1,1,0,0,1,0,0
Toyota Innova,Toyota,Innova,3.0,27000,Automatic,11.36,2159.5,171.5,8,1850000,0,1,0,0,1,0,0
Skoda Octavia,Skoda,Octavia,7.0,59864,Manual,18.7,1896.0,66.0,5,1100000,1,1,0,0,1,0,0
Honda Jazz,Honda,Jazz,6.0,31298,Automatic,19.0,1199.0,88.7,5,590000,0,1,0,0,0,0,1
Maruti Ciaz,Maruti,Ciaz,4.0,13000,Manual,28.09,1248.0,88.5,5,885000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,8.0,59000,Manual,23.5,1396.0,88.7,5,490000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,11.0,78000,Manual,17.0,1197.0,80.0,5,371000,1,1,0,0,0,0,1
Ford Figo,Ford,Figo,11.0,45000,Manual,15.6,1196.0,70.0,5,169000,1,1,0,0,0,0,1
Maruti Ertiga,Maruti,Ertiga,4.0,39000,Manual,17.5,1373.0,91.1,7,775000,1,1,0,0,0,0,1
Hyundai Santro,Hyundai,Santro,4.0,4800,Manual,20.3,1086.0,68.0,5,530000,1,0,1,0,0,0,1
BMW 5,Bmw,5,4.0,67000,Automatic,18.12,1995.0,174.52500000000003,5,2575000,0,1,0,0,0,0,1
Honda Amaze,Hond,Amaze,6.0,21000,Manual,18.0,1198.0,100.59431352459016,5,435000,1,1,0,0,0,0,1
Toyota Innova,Toyota,Innova,7.0,115000,Manual,12.8,2159.5,100.59431352459016,7,996000,1,1,0,0,1,0,0
Maruti Celerio,Maruti,Celerio,4.0,55001,Automatic,23.1,998.0,67.04,5,485000,0,1,0,0,0,0,1
Toyota Innova,Toyota,Innova,4.0,82326,Manual,12.99,2159.5,100.6,7,875000,1,1,0,0,1,0,0
Honda Amaze,Hond,Amaze,7.0,100000,Manual,25.8,1498.0,98.6,5,550000,1,0,1,0,0,0,1
Maruti Celerio,Maruti,Celerio,4.0,39400,Manual,30.834999999999994,998.0,100.59431352459016,5,475000,1,1,0,1,0,0,0
Hyundai i20,Hyundai,I20,2.0,3000,Manual,18.6,1197.0,81.83,5,600000,1,0,1,0,0,0,1
Renault KWID,Renault,Kwid,2.0,5000,Manual,25.17,799.0,53.3,5,350000,1,0,1,1,0,0,0
Honda City,Honda,City,5.0,56436,Automatic,18.0,1497.0,117.3,5,825000,0,0,0,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,4.0,18000,Manual,20.51,998.0,67.04,5,475000,1,1,0,0,0,0,1
Maruti Ertiga,Maruti,Ertiga,8.0,39000,Manual,20.77,1248.0,88.8,7,640000,1,0,1,0,1,0,0
Renault KWID,Renault,Kwid,3.0,20000,Manual,25.17,799.0,53.3,5,365000,1,1,0,0,0,0,1
Ford Aspire,Ford,Aspire,4.0,25000,Manual,24.29,1498.0,99.0,5,650000,1,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,11.0,130000,Manual,17.0,1197.0,80.0,5,204000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,9.0,66259,Manual,21.9,1396.0,90.0,5,435000,1,1,0,0,1,0,0
Honda Amaze,Honda,Amaze,8.0,57239,Manual,18.0,1198.0,86.7,5,425000,1,1,0,0,0,0,1
Honda City,Honda,City,4.0,45000,Manual,17.4,1497.0,117.6,5,715000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,8.0,65000,Manual,22.32,1582.0,126.3,5,540000,1,1,0,0,1,0,0
Maruti Ciaz,Maruti,Ciaz,4.0,54552,Manual,20.73,1373.0,91.1,5,675000,1,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,6.0,78028,Manual,15.96,2159.5,62.1,7,635000,1,1,0,0,1,0,0
Volkswagen Polo,Volkswagen,Polo,5.0,110000,Manual,16.2,1199.0,74.0,5,525000,1,1,0,0,0,0,1
Hyundai i10,Hyundai,I10,9.0,59000,Manual,19.81,1086.0,68.05,5,275000,1,1,0,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzire,6.0,96000,Manual,26.59,1248.0,74.0,5,450000,1,0,1,0,1,0,0
Hyundai Grand,Hyundai,Grand,4.0,41000,Manual,18.9,1197.0,82.0,5,520000,1,1,0,1,0,0,0
Ford Aspire,Ford,Aspire,6.0,65000,Manual,25.83,1197.0,99.0,5,490000,1,1,0,0,1,0,0
Honda Amaze,Honda,Amaze,8.0,51112,Automatic,15.5,1198.0,86.7,5,295000,0,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bol3Ro,8.0,130000,Manual,15.96,2159.5,63.0,9,500000,1,0,1,0,1,0,0
Hyundai Creta,Hyundai,Creta,4.0,24900,Automatic,13.0,1591.0,121.3,5,1085000,0,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,2.0,20000,Manual,17.0,1591.0,121.3,5,1025000,1,0,1,0,0,0,1
Maruti Vitara,Maruti,Vitara,3.0,20613,Automatic,24.3,1248.0,88.5,5,975000,0,1,0,0,1,0,0
Maruti Ertiga,Maruti,Ertiga,3.0,42000,Manual,17.5,1373.0,80.46,7,875000,1,1,0,1,0,0,0
Audi A4,Audi,A4,9.0,120000,Automatic,10.8,1984.0,132.0,5,1100000,0,0,1,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,11.0,78000,Manual,19.692493169398904,1248.0,73.9,5,310000,1,1,0,0,1,0,0
BMW 3,Bmw,3,9.0,61000,Automatic,18.88,1995.0,174.52500000000003,5,1345000,0,1,0,0,1,0,0
Maruti Ignis,Maruti,Ignis,2.0,11000,Automatic,20.89,1197.0,81.8,5,640000,0,1,0,0,0,0,1
BMW X1,Bmw,X1,3.0,23000,Automatic,20.68,1995.0,174.52500000000003,5,3000000,0,1,0,0,1,0,0
Ford Ecosport,Ford,Ecosport,3.0,29500,Manual,23.0,1498.0,98.96,5,950000,1,1,0,0,1,0,0
Honda City,Honda,City,7.0,26000,Manual,26.0,1498.0,98.6,5,590000,1,1,0,0,1,0,0
BMW X1,Bmw,X1,7.0,116653,Automatic,17.05,1995.0,174.52500000000003,5,1150000,0,1,0,0,1,0,0
BMW 7,Bmw,7,3.0,50000,Automatic,16.77,2159.5,174.52500000000003,5,8500000,0,0,1,0,1,0,0
Tata Tigor,Tata,Tigor,3.0,9500,Automatic,20.3,1199.0,100.59431352459016,5,575000,0,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,14.0,130000,Manual,13.6,2159.5,63.0,7,300000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,2.0,20000,Manual,26.59,1248.0,74.0,5,816000,1,1,0,0,1,0,0
Mahindra Thar,Mahindra,Thar,3.0,30000,Manual,16.55,2159.5,105.0,6,850000,1,1,0,0,1,0,0
Volkswagen Polo,Volkswagen,Polo,5.0,20000,Manual,16.2,1199.0,74.0,5,550000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,10.0,80000,Manual,19.3,1248.0,73.9,5,360000,1,1,0,0,1,0,0
Mahindra Thar,Mahindra,Thar,4.0,32707,Manual,16.55,2159.5,105.0,7,835000,1,1,0,0,1,0,0
Hyundai Grand,Hyundai,Grand,6.0,94870,Manual,24.0,1120.0,70.0,5,485000,1,1,0,0,0,0,1
Mahindra KUV,Maruti,Kuv,14.0,20200,Manual,25.32,1198.0,77.0,5,435000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,2.0,18000,Manual,22.54,1396.0,88.76,5,800000,1,1,0,0,1,0,0
Volkswagen Vento,Volkswagen,Vento,6.0,49000,Automatic,21.21,1498.0,103.2,5,695000,0,1,0,0,1,0,0
Maruti Wagon R,Maruti,Wagon R,4.0,25649,Automatic,21.5,1197.0,81.8,5,470000,0,1,0,0,0,0,1
Ford Ecosport,Ford,Ecosport,7.0,63000,Manual,18.88,1197.0,123.37,5,535000,1,1,0,0,0,0,1
Hyundai i10,Hyundai,I10,5.0,15000,Manual,19.81,1086.0,68.05,5,390000,1,0,1,0,0,0,1
Nissan Kicks,Maruti,Kicks,2.0,4000,Manual,14.23,1498.0,104.55,5,890000,1,1,0,0,0,0,1
Maruti Vitara,Maruti,Vitara,4.0,38000,Manual,24.3,1248.0,88.5,5,800000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,6.0,23000,Manual,18.6,1197.0,81.83,5,565000,1,1,0,0,0,0,1
Honda Jazz,Honda,Jazz,10.0,58000,Manual,16.0,1198.0,90.0,5,325000,1,1,0,0,0,0,1
Tata Hexa,Tata,Hexa,4.0,93000,Manual,17.6,2159.5,153.86,7,985000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,7.0,44000,Manual,18.5,1197.0,82.85,5,380000,1,1,0,0,0,0,1
BMW 7,Bmw,7,8.0,39800,Automatic,14.49,2159.5,174.52500000000003,5,2550000,0,1,0,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzir3,3.0,15210,Automatic,21.21,1197.0,81.8,5,785000,0,1,0,0,0,0,1
Honda Amaze,Honda,Amaze,5.0,75225,Manual,25.8,1197.0,98.6,5,580000,1,1,0,0,1,0,0
BMW X1,Bmw,X1,3.0,22000,Automatic,17.05,1995.0,174.52500000000003,5,3000000,0,1,0,0,1,0,0
Ford Ecosport,Ford,Ecosport,2.0,10787,Manual,21.7,1498.0,98.96,5,1050000,1,1,0,0,1,0,0
Maruti Dzire ZXI,Maruti,Dzire Zxi,7.0,66250,Manual,23.26,1197.0,88.5,5,440000,1,1,0,1,0,0,0
Hyundai Verna,Hyundai,Verna,4.0,28900,Manual,17.01,1591.0,121.3,5,865000,1,1,0,0,0,0,1
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10.0,88002,Automatic,15.8,2143.0,170.0,5,1325000,0,1,0,0,1,0,0
Toyota Innova,Toyota,Innova,9.0,93000,Manual,12.99,2159.5,100.0,8,729000,1,1,0,0,1,0,0
Maruti Ertiga,Maruti,Ertiga,4.0,40000,Automatic,17.03,1373.0,91.1,7,780000,0,0,1,0,0,0,1
Hyundai i20,Hyunda,I20,9.0,130000,Manual,23.0,1396.0,100.59431352459016,5,450000,1,0,1,0,1,0,0
Renault KWID,Maruti,Kwid,3.0,25000,Manual,25.17,799.0,53.3,5,330000,1,1,0,0,0,0,1
BMW X3,Bmw,X3,5.0,66000,Automatic,18.56,1995.0,174.52500000000003,5,2750000,0,1,0,0,1,0,0
Maruti Baleno,Maruti,Baleno,5.0,30000,Manual,27.39,1248.0,74.0,5,700000,1,0,1,0,1,0,0
Datsun GO,Datsun,Go,5.0,29500,Manual,20.63,1198.0,67.0,5,310000,1,0,1,0,0,0,1
Maruti Ertiga,Maruti,Ertiga,4.0,77900,Manual,24.2,1498.0,93.87,7,875000,1,1,0,0,1,0,0
Hyundai Grand,Hyundai,Grand,8.0,43000,Manual,18.9,1197.0,82.0,5,355000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,5.0,18000,Manual,18.6,1197.0,81.83,5,630000,1,1,0,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,10.0,105000,Manual,22.07,1199.0,73.9,5,315000,1,1,0,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,7.0,70000,Manual,19.1,1197.0,85.8,5,425000,1,0,1,0,0,0,1
Renault KWID,Renault,Kwid,2.0,40000,Manual,25.17,799.0,53.3,5,325000,1,0,1,0,0,0,1
Hyundai Tucson,Hyundai,Tucson,4.0,64000,Automatic,16.38,1995.0,174.52500000000003,5,1650000,0,1,0,0,1,0,0
Renault KWID,Renault,Kwid,5.0,40000,Manual,25.17,799.0,53.3,5,220000,1,0,1,0,0,0,1
Maruti Wagon R,Maruti,Wagon,5.0,42000,Automatic,20.51,998.0,67.0,5,445000,0,1,0,1,0,0,0
Renault Duster,Renault,Duster,4.0,80000,Manual,19.87,1461.0,83.8,5,525000,1,0,1,0,1,0,0
Skoda Octavia,Skoda,Octavia,7.0,80000,Automatic,19.3,1968.0,141.0,5,1125000,0,1,0,0,1,0,0
Hyundai Creta,Hyunda,Creta,6.0,73000,Manual,15.29,1591.0,121.3,5,790000,1,1,0,0,0,0,1
Hyundai Grand,Hyundai,Grand,5.0,5301,Automatic,18.9,1197.0,82.0,5,585000,0,1,0,0,0,0,1
Toyota Innova,Toyota,Innova,7.0,110000,Manual,12.99,2159.5,100.6,8,1045000,1,1,0,0,1,0,0
Tata Tigor,Tata,Tigor,3.0,90000,Manual,20.3,1199.0,84.0,5,400000,1,0,1,0,0,0,1
Mahindra XUV300,Mahindra,Xuv300,2.0,4000,Manual,17.0,1197.0,108.6,5,890000,1,0,1,0,0,0,1
Toyota Fortuner,Toyota,Fortuner,11.0,130000,Manual,11.5,2159.5,171.0,7,890000,1,1,0,0,1,0,0
Volkswagen Polo,Volkswag3N,Polo,6.0,61500,Manual,20.14,1498.0,88.8,5,475000,1,1,0,0,1,0,0
Tata Tiago,Tata,Tiago,3.0,30000,Manual,23.84,1199.0,84.0,5,450000,1,0,1,0,0,0,1
Maruti Celerio,Maruti,Celerio,6.0,36000,Automatic,23.1,998.0,67.04,5,430000,0,1,0,0,0,0,1
Honda Jazz,Honda,Jazz,5.0,22000,Manual,18.7,1197.0,88.7,5,575000,1,1,0,0,0,0,1
Hyundai Elantra,Hyundai,Elantra,4.0,53958,Automatic,18.23,1582.0,126.2,5,1370000,0,1,0,0,1,0,0
Maruti Alto,Maruti,Alto,14.0,83000,Manual,19.7,796.0,46.3,5,95000,1,1,0,0,0,0,1
Toyota Innova,Toyota,Innova,14.0,130000,Manual,12.8,2159.5,102.0,8,500000,1,0,1,0,1,0,0
Ford Figo,Ford,Figo,10.0,113000,Manual,20.0,1399.0,100.59431352459016,5,290000,1,1,0,0,1,0,0
Maruti Ciaz,Maruti,Ciaz,3.0,40000,Manual,21.56,1462.0,103.25,5,850000,1,0,1,0,0,0,1
Skoda Rapid,Skoda,Rapid,3.0,31000,Automatic,14.3,1598.0,103.52,5,760000,0,1,0,0,0,0,1
Volkswagen Polo,Volkswag3N,Polo,9.0,90100,Manual,19.692493169398904,1199.0,73.9,5,375000,1,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,3.0,47000,Manual,28.4,1248.0,74.0,5,800000,1,1,0,0,1,0,0
Honda City,Honda,City,6.0,56000,Automatic,18.0,1497.0,117.3,5,771000,0,1,0,0,0,0,1
Toyota Fortuner,Toyota,Fortuner,4.0,90000,Manual,13.0,2159.5,168.5,7,2600000,1,1,0,0,1,0,0
Mahindra Scorpio,Mahindra,Scorpio,7.0,51000,Manual,15.4,2159.5,120.0,7,925000,1,1,0,0,1,0,0
